settlement_id	languages	names_ara_common	names_ara_common_other	names_ara_search	names_ara_translit	names_ara_translit_other	names_eng_common	names_eng_common_other	names_eng_search	names_eng_translit	names_eng_translit_other	region_URI	source	top_type	coordinates
QAHIRA_312E300N_S	['ara', 'eng']	القاهرة	القاهرة				Cairo	Cairo	Qahira, Cairo	al-Qāhiraŧ	al-Madīnaŧ al-Qāhiraŧ	Misr_RE	maximromanov	metropoles	[31.2357, 30.0444]
IRBIL_440E361N_S	['ara', 'eng']	إربيل	إربيل				Irbil	Erbil	Irbil, Erbil	Irbīl	Irbīl	Aqur_RE	maximromanov	towns	[44.009085, 36.191231]
DANIYA_001E388N_S	['ara', 'eng']	دانية	دانية				Dénia	Dénia	Daniya, Dénia	Dāniyaŧ	Dāniyaŧ	Andalus_RE	maximromanov	towns	[0.105056, 38.838799]
WASHQA_003W421N_R	['ara', 'eng']	وشقة	وشقة	وشقة					Washqa	Wašqaŧ	Wašqaŧ	Andalus_RE	cornuData	regions	[-0.35371, 42.16109]
WASHQA_003W421N_S	['ara', 'eng']	وشقة	وشقة	وشقة					Washqa	Wašqaŧ	Wašqaŧ	Andalus_RE	cornuData	towns	[-0.35371, 42.16109]
BALANSIYYA_004W394N_R	['ara', 'eng']	بلنسية	بلنسية	بلنسية					Balansiyya	Balansiyyaŧ	Balansiyyaŧ	Andalus_RE	cornuData	regions	[-0.41486, 39.43516]
BALANSIYYA_004W394N_S	['ara', 'eng']	بلنسية	بلنسية	بلنسية					Balansiyya	Balansiyyaŧ	Balansiyyaŧ	Andalus_RE	cornuData	towns	[-0.41486, 39.43516]
SHAQR_004W391N_S	['ara', 'eng']	الشقر	الشقر	الشقر					al-Shaqr	al-Šaqr	al-Šaqr	Andalus_RE	cornuData	villages	[-0.43734, 39.16483]
QANT_004W383N_S	['ara', 'eng']	قانت	قانت	قانت					Qant	Qānt	Qānt	Andalus_RE	cornuData	towns	[-0.47061, 38.34618]
SHATIBA_005W389N_S	['ara', 'eng']	شاتبة	شاتبة	شاتبة					Shatiba	Šātibaŧ	Šātibaŧ	Andalus_RE	cornuData	towns	[-0.52276, 38.96551]
SARAQUSA_009W416N_R	['ara', 'eng']	سرقوسة	سرقوسة، سرقوسطة	سرقوسة					Saraqusa, Saraqusta	Saraqūsaŧ	Saraqūsaŧ, Saraqūsṭaŧ	Andalus_RE	cornuData	regions	[-0.9292, 41.63368]
SARAQUSA_009W416N_S	['ara', 'eng']	سرقوسة	سرقوسة، سرقوسطة	سرقوسة					Saraqusa, Saraqusta	Saraqūsaŧ	Saraqūsaŧ, Saraqūsṭaŧ	Andalus_RE	cornuData	towns	[-0.9292, 41.63368]
QARTAJANNA_009W376N_S	['ara', 'eng']	قرطاجنة	قرطاجنة	قرطاجنة					Qartajanna	Qarṭāǧannaŧ	Qarṭāǧannaŧ	Andalus_RE	cornuData	villages	[-0.98315, 37.6005]
NAHRABRUH_009W417N_W	['ara', 'eng']	نهر أبره	نهر أبره	نهر أبره					Nahr Abruh	Nahr Abruh	Nahr Abruh	Andalus_RE	cornuData	waters	[-0.99933, 41.7827]
MURSIYA_011W379N_S	['ara', 'eng']	مرسية	مرسية	مرسية					Mursiya	Mursiyaŧ	Mursiyaŧ	Andalus_RE	cornuData	towns	[-1.11443, 37.99945]
TUDMIR_013W379N_R	['ara', 'eng']	تدمير	تدمير	تدمير					Tudmir	Tudmīr	Tudmīr	Andalus_RE	cornuData	regions	[-1.34462, 37.95834]
TUTILA_016W420N_R	['ara', 'eng']	تطيلة	تطيلة	تطيلة					Tutila	Tuṭīlaŧ	Tuṭīlaŧ	Andalus_RE	cornuData	regions	[-1.62697, 42.04634]
TUTILA_016W420N_S	['ara', 'eng']	تطيلة	تطيلة	تطيلة					Tutila	Tuṭīlaŧ	Tuṭīlaŧ	Andalus_RE	cornuData	towns	[-1.62697, 42.04634]
LURQA_017W376N_S	['ara', 'eng']	لرقة	لرقة	لرقة					Lurqa	Lurqaŧ	Lurqaŧ	Andalus_RE	cornuData	towns	[-1.73128, 37.6532]
MADINASALIM_024W411N_S	['ara', 'eng']	مدينة سالم	مدينة سالم	مدينة سالم					Madina Salim	Madīnaŧ Sālim	Madīnaŧ Sālim	Andalus_RE	cornuData	towns	[-2.41736, 41.13714]
BAJJANA_024W369N_R	['ara', 'eng']	بجانة	بجانة	بجانة					Bajjana	Baǧǧānaŧ	Baǧǧānaŧ	Andalus_RE	cornuData	regions	[-2.41826, 36.95657]
BAJJANA_024W369N_S	['ara', 'eng']	بجانة	بجانة	بجانة					Bajjana	Baǧǧānaŧ	Baǧǧānaŧ	Andalus_RE	cornuData	towns	[-2.41826, 36.95657]
MARIYYA_025W368N_S	['ara', 'eng']	المرية	المرية	المرية					al-Mariyya	al-Mariyyaŧ	al-Mariyyaŧ	Andalus_RE	cornuData	towns	[-2.50099, 36.86202]
WADIHIJARA_031W406N_R	['ara', 'eng']	وادي الحجارة	وادي الحجارة	وادي الحجارة					Wadi al-Hijara	Wādī al-Ḥijāraŧ	Wādī al-Ḥijāraŧ	Andalus_RE	cornuData	regions	[-3.15111, 40.6491]
WADIHIJARA_031W406N_S	['ara', 'eng']	وادي الحجارة	وادي الحجارة	وادي الحجارة					Wadi al-Hijara	Wādī al-Ḥijāraŧ	Wādī al-Ḥijāraŧ	Andalus_RE	cornuData	towns	[-3.15111, 40.6491]
WADIYASH_031W373N_S	['ara', 'eng']	وادياش	وادياش	وادياش					Wadiyash	Wādiyāš	Wādiyāš	Andalus_RE	cornuData	towns	[-3.16459, 37.33966]
SHAWDHAR_033W378N_S	['ara', 'eng']	شوذر	شوذر	شوذر					Shawdhar	Šawḏar	Šawḏar	Andalus_RE	cornuData	towns	[-3.34803, 37.87641]
BAYYASA_034W379N_S	['ara', 'eng']	بياسة	بياسة	بياسة					Bayyasa	Bayyāsaŧ	Bayyāsaŧ	Andalus_RE	cornuData	towns	[-3.45773, 37.9998]
GHARNATA_035W372N_S	['ara', 'eng']	غرناطة	غرناطة	غرناطة					Gharnata	Ġarnāṭaŧ	Ġarnāṭaŧ	Andalus_RE	cornuData	towns	[-3.5998, 37.20621]
MANTISHA_036W398N_S	['ara', 'eng']	منتيشة	منتيشة	منتيشة					Mantisha	Mantīšaŧ	Mantīšaŧ	Andalus_RE	cornuData	towns	[-3.62588, 39.81332]
LIBIRA_036W372N_R	['ara', 'eng']	لبيرة	لبيرة، إلبيرة	لبيرة					Libira, Ilbira	Libīraŧ	Libīraŧ, Ilbīraŧ	Andalus_RE	cornuData	regions	[-3.66814, 37.22734]
LIBIRA_036W372N_S	['ara', 'eng']	لبيرة	لبيرة، إلبيرة	لبيرة					Libira, Ilbira	Libīraŧ	Libīraŧ, Ilbīraŧ	Andalus_RE	cornuData	towns	[-3.66814, 37.22734]
QALARABAH_037W388N_S	['ara', 'eng']	قلعة رباح	قلعة رباح، قلعة رباط	قلعة رباح					Qala Rabah, Qala Ribat	Qalʿaŧ Rabāḥ	Qalʿaŧ Rabāḥ, Qalʿaŧ Ribāṭ	Andalus_RE	cornuData	towns	[-3.78324, 38.80312]
JAYYAN_038W377N_S	['ara', 'eng']	جيان	جيان	جيان					Jayyan	Ǧayyān	Ǧayyān	Andalus_RE	cornuData	towns	[-3.80302, 37.78977]
QASTALLA_038W379N_S	['ara', 'eng']	قسطلة	قسطلة	قسطلة					Qastalla	Qasṭallaŧ	Qasṭallaŧ	Andalus_RE	cornuData	towns	[-3.87676, 37.98847]
ABNASH_039W396N_S	['ara', 'eng']	أبنش	أبنش	أبنش					Abnash	Abnaš	Abnaš	Andalus_RE	cornuData	towns	[-3.91003, 39.63212]
MALAQUN_039W391N_S	['ara', 'eng']	ملقون	ملقون	ملقون					Malaqun	Malaqūn	Malaqūn	Andalus_RE	cornuData	towns	[-3.91362, 39.1739]
MUGHAN_039W399N_S	['ara', 'eng']	مغان	مغان	مغان					Mughan	Muġān	Muġān	Andalus_RE	cornuData	villages	[-3.9424, 39.97062]
MARTUSH_039W377N_S	['ara', 'eng']	مارتوش	مارتوش	مارتوش					Martush	Mārtūš	Mārtūš	Andalus_RE	cornuData	towns	[-3.98826, 37.74285]
TULAYTILA_040W398N_R	['ara', 'eng']	طليطلة	طليطلة	طليطلة					Tulaytila	Ṭulayṭilaŧ	Ṭulayṭilaŧ	Andalus_RE	cornuData	regions	[-4.0521, 39.88926]
TULAYTILA_040W398N_S	['ara', 'eng']	طليطلة	طليطلة	طليطلة					Tulaytila	Ṭulayṭilaŧ	Ṭulayṭilaŧ	Andalus_RE	cornuData	towns	[-4.0521, 39.88926]
ARJUNA_040W379N_S	['ara', 'eng']	أرجونة	أرجونة	أرجونة					Arjuna	Arǧūnaŧ	Arǧūnaŧ	Andalus_RE	cornuData	towns	[-4.053, 37.9204]
KARKUYA_040W388N_S	['ara', 'eng']	كركوية	كركوية	كركوية					Karkuya	Karkūyaŧ	Karkūyaŧ	Andalus_RE	cornuData	towns	[-4.06918, 38.81784]
BAYGHU_042W374N_S	['ara', 'eng']	بيغو	بيغو	بيغو					Bayghu	Bayġū	Bayġū	Andalus_RE	cornuData	towns	[-4.20406, 37.45788]
HISNBULKUNA_042W378N_S	['ara', 'eng']	حصن بلكونة	حصن بلكونة	حصن بلكونة					Hisn Bulkuna	Ḥiṣn Bulkūnaŧ	Ḥiṣn Bulkūnaŧ	Andalus_RE	cornuData	towns	[-4.22025, 37.87073]
RAYYA_044W369N_R	['ara', 'eng']	رية	رية، ريه	رية					Rayya, Rayyuh	Rayyaŧ	Rayyaŧ, Rayyuh	Andalus_RE	cornuData	regions	[-4.40368, 36.98351]
ARJIDUNA_044W370N_S	['ara', 'eng']	أرجدونة	أرجدونة	أرجدونة					Arjiduna	Arǧidūnaŧ	Arǧidūnaŧ	Andalus_RE	cornuData	towns	[-4.42886, 37.08687]
MALIQA_044W367N_R	['ara', 'eng']	مالقة	مالقة	مالقة					Maliqa	Māliqaŧ	Māliqaŧ	Andalus_RE	cornuData	regions	[-4.43066, 36.74791]
MALIQA_044W367N_S	['ara', 'eng']	مالقة	مالقة	مالقة					Maliqa	Māliqaŧ	Māliqaŧ	Andalus_RE	cornuData	towns	[-4.43066, 36.74791]
QURTUBA_047W379N_S	['ara', 'eng']	قرطبة	قرطبة	قرطبة					Qurtuba	Qurṭubaŧ	Qurṭubaŧ	Andalus_RE	cornuData	metropoles	[-4.78135, 37.91898]
TALABIRA_048W399N_S	['ara', 'eng']	طلابرة	طلابرة	طلابرة					Talabira	Ṭalābiraŧ	Ṭalābiraŧ	Andalus_RE	cornuData	towns	[-4.82541, 39.97062]
ZAHRA_048W379N_S	['ara', 'eng']	الزهراء	الزهراء	الزهراء					al-Zahra	al-Zahrāʾ	al-Zahrāʾ	Andalus_RE	cornuData	towns	[-4.85328, 37.96011]
FAHSBALLUT_048W386N_R	['ara', 'eng']	فحص البلوط	فحص البلوط	فحص البلوط					Fahs al-Ballut	Faḥṣ al-Ballūṭ	Faḥṣ al-Ballūṭ	Andalus_RE	cornuData	regions	[-4.89554, 38.63018]
GHAFIQ_050W386N_S	['ara', 'eng']	غافق	غافق	غافق					Ghafiq	Ġāfiq	Ġāfiq	Andalus_RE	cornuData	towns	[-5.01064, 38.68214]
ISTIJA_051W375N_S	['ara', 'eng']	إستجة	إستجة	إستجة					Istija	Istiǧaŧ	Istiǧaŧ	Andalus_RE	cornuData	towns	[-5.10865, 37.53493]
NAHRQURTUBA_051W377N_W	['ara', 'eng']	نهر قرطوبة	نهر قرطوبة	نهر قرطوبة					Nahr Qurtuba	Nahr Qurṭūbaŧ	Nahr Qurṭūbaŧ	Andalus_RE	cornuData	waters	[-5.11225, 37.75423]
JAZIRAJABALTARIQ_053W361N_S	['ara', 'eng']	جزيرة جبل طارق	جزيرة جبل طارق	جزيرة جبل طارق					Jazira Jabal Tariq	Ǧazīraŧ Ǧabal Ṭāriq	Ǧazīraŧ Ǧabal Ṭāriq	Andalus_RE	cornuData	towns	[-5.33071, 36.16752]
JAZIRAKHADRA_054W361N_R	['ara', 'eng']	جزيرة الخضراء	جزيرة الخضراء	جزيرة الخضراء					Jazira al-Khadra	Ǧazīraŧ al-Ḫaḍrāʾ	Ǧazīraŧ al-Ḫaḍrāʾ	Andalus_RE	cornuData	regions	[-5.43793, 36.16359]
MAWRUR_054W371N_S	['ara', 'eng']	مورور	مورور	مورور					Mawrur	Mawrūr	Mawrūr	Andalus_RE	cornuData	towns	[-5.48272, 37.14029]
LIYUN_055W426N_S	['ara', 'eng']	ليون	ليون	ليون					Liyun	Liyūn	Liyūn	Andalus_RE	cornuData	towns	[-5.56634, 42.6185]
FIRRISH_055W379N_R	['ara', 'eng']	فريش	فريش، قرسيس	فريش					Firrish, Qarsis	Firrīš	Firrīš, Qarsīs	Andalus_RE	cornuData	regions	[-5.58702, 37.95728]
QARMUNA_056W374N_S	['ara', 'eng']	قرمونة	قرمونة	قرمونة					Qarmuna	Qarmūnaŧ	Qarmūnaŧ	Andalus_RE	cornuData	towns	[-5.64097, 37.42933]
SAMMURA_057W414N_S	['ara', 'eng']	سمورة	سمورة	سمورة					Sammura	Sammūraŧ	Sammūraŧ	Andalus_RE	cornuData	towns	[-5.76776, 41.44051]
SHADHUNA_059W364N_R	['ara', 'eng']	شذونة	شذونة، شدونة	شذونة					Shadhuna, Shaduna	Šaḏūnaŧ	Šaḏūnaŧ, Šadūnaŧ	Andalus_RE	cornuData	regions	[-5.91433, 36.4664]
SHADHUNA_059W364N_S	['ara', 'eng']	شذونة	شذونة، شدونة	شذونة					Shadhuna, Shaduna	Šaḏūnaŧ	Šaḏūnaŧ, Šadūnaŧ	Andalus_RE	cornuData	towns	[-5.91433, 36.4664]
TARAJILA_059W394N_S	['ara', 'eng']	ترجيلة	ترجيلة	ترجيلة					Tarajila	Taraǧīlaŧ	Taraǧīlaŧ	Andalus_RE	cornuData	towns	[-5.93861, 39.48654]
MADALLIN_059W389N_S	['ara', 'eng']	مدلين	مدلين	مدلين					Madallin	Madallīn	Madallīn	Andalus_RE	cornuData	towns	[-5.94131, 38.93229]
ISHBILIYYA_059W374N_R	['ara', 'eng']	إشبيلية	إشبيلية	إشبيلية					Ishbiliyya	Išbīliyyaŧ	Išbīliyyaŧ	Andalus_RE	cornuData	regions	[-5.96199, 37.4079]
ISHBILIYYA_059W374N_S	['ara', 'eng']	إشبيلية	إشبيلية	إشبيلية					Ishbiliyya	Išbīliyyaŧ	Išbīliyyaŧ	Andalus_RE	cornuData	towns	[-5.96199, 37.4079]
MAKHADABALAT_060W398N_S	['ara', 'eng']	مخاضة البلاط	مخاضة البلاط	مخاضة البلاط					Makhada al-Balat	Maḫāḍaŧ al-Balāṭ	Maḫāḍaŧ al-Balāṭ	Andalus_RE	cornuData	towns	[-6.06629, 39.80641]
SHARISH_061W366N_S	['ara', 'eng']	شريش	شريش	شريش					Sharish	Šarīš	Šarīš	Andalus_RE	cornuData	towns	[-6.10856, 36.69169]
QADIS_061W365N_S	['ara', 'eng']	قادس	قادس	قادس					Qadis	Qādis	Qādis	Andalus_RE	cornuData	towns	[-6.18409, 36.57191]
MARIDA_063W388N_S	['ara', 'eng']	ماردة	ماردة	ماردة					Marida	Māridaŧ	Māridaŧ	Andalus_RE	cornuData	towns	[-6.32886, 38.89521]
QASARASH_063W394N_S	['ara', 'eng']	قصراش	قصراش	قصراش					Qasarash	Qaṣarāš	Qaṣarāš	Andalus_RE	cornuData	towns	[-6.3954, 39.46953]
QURIYA_065W399N_S	['ara', 'eng']	قرية	قرية	قرية					Quriya	Quriyaŧ	Quriyaŧ	Andalus_RE	cornuData	towns	[-6.55006, 39.9627]
LABLA_066W373N_S	['ara', 'eng']	لبلة	لبلة	لبلة					Labla	Lablaŧ	Lablaŧ	Andalus_RE	cornuData	towns	[-6.66965, 37.38969]
QANTARASIF_068W396N_S	['ara', 'eng']	قنطرة السيف	قنطرة السيف	قنطرة السيف					Qantara al-Sif	Qanṭaraŧ al-Sīf	Qanṭaraŧ al-Sīf	Andalus_RE	cornuData	towns	[-6.8414, 39.69061]
MAIDA_068W406N_S	['ara', 'eng']	المئدة	المئدة	المئدة					al-Maida	al-Maʾidaŧ	al-Maʾidaŧ	Andalus_RE	cornuData	towns	[-6.87557, 40.62317]
BATALYUS_069W388N_R	['ara', 'eng']	بطليوس	بطليوس، بطليوث	بطليوس					Batalyus, Batalyuth	Baṭalyūs	Baṭalyūs, Baṭalyūṯ	Andalus_RE	cornuData	regions	[-6.99606, 38.835]
BATALYUS_069W388N_S	['ara', 'eng']	بطليوس	بطليوس، بطليوث	بطليوس					Batalyus, Batalyuth	Baṭalyūs	Baṭalyūs, Baṭalyūṯ	Andalus_RE	cornuData	towns	[-6.99606, 38.835]
JABALUYUN_069W374N_S	['ara', 'eng']	جبل العيون	جبل العيون	جبل العيون					Jabal al-Uyun	Ǧabal al-ʿUyūn	Ǧabal al-ʿUyūn	Andalus_RE	cornuData	towns	[-6.99696, 37.41112]
BASH_071W388N_S	['ara', 'eng']	البش	البش، ألبس	البش					al-Bash, Albas	al-Baš	al-Baš, Albas	Andalus_RE	cornuData	towns	[-7.1741, 38.87561]
LAB_072W372N_S	['ara', 'eng']	لب	لب	لب					Lab	Lab	Lab	Andalus_RE	cornuData	towns	[-7.21996, 37.23807]
JALMANIYA_072W387N_S	['ara', 'eng']	جلمانية	جلمانية	جلمانية					Jalmaniya	Ǧalmāniyaŧ	Ǧalmāniyaŧ	Andalus_RE	cornuData	towns	[-7.22985, 38.77894]
BAJA_078W380N_R	['ara', 'eng']	باجة	باجة	باجة					Baja	Bāǧaŧ	Bāǧaŧ	Andalus_RE	cornuData	regions	[-7.80444, 38.00689]
BAJA_078W380N_S	['ara', 'eng']	باجة	باجة	باجة					Baja	Bāǧaŧ	Bāǧaŧ	Andalus_RE	cornuData	towns	[-7.80444, 38.00689]
BIZA_078W390N_S	['ara', 'eng']	بيزة	بيزة	بيزة					Biza	Bīzaŧ	Bīzaŧ	Andalus_RE	cornuData	towns	[-7.87188, 39.02806]
KHUSHUNUBA_079W370N_R	['ara', 'eng']	خشنبة	خشنبة، أخشنبة	خشنبة					Khushunuba, Ukhshunuba	Ḫušunubaŧ	Ḫušunubaŧ, Uḫšunubaŧ	Andalus_RE	cornuData	regions	[-7.90515, 37.06463]
KHUSHUNUBA_079W370N_S	['ara', 'eng']	خشنبة	خشنبة، أخشنبة	خشنبة					Khushunuba, Ukhshunuba	Ḫušunubaŧ	Ḫušunubaŧ, Uḫšunubaŧ	Andalus_RE	cornuData	towns	[-7.90515, 37.06463]
WADITAJU_080W395N_W	['ara', 'eng']	وادي تاجو	وادي تاجو	وادي تاجو					Wadi Taju	Wādī Tāǧū	Wādī Tāǧū	Andalus_RE	cornuData	waters	[-8.03553, 39.5299]
MADINASHALAB_084W372N_S	['ara', 'eng']	مدينة شلب	مدينة شلب، شلب	مدينة شلب					Madina Shalab, Shilb	Madīnaŧ Šalab	Madīnaŧ Šalab, Šilb	Andalus_RE	cornuData	towns	[-8.42308, 37.22519]
QASRBANUWARDAS_084W383N_S	['ara', 'eng']	قصر بنو ورداس	قصر بنو ورداس	قصر بنو ورداس					Qasr Banu Wardas	Qaṣr Banū Wardās	Qaṣr Banū Wardās	Andalus_RE	cornuData	towns	[-8.48333, 38.36698]
SHANTARIN_087W392N_S	['ara', 'eng']	شنترين	شنترين	شنترين					Shantarin	Šantarīn	Šantarīn	Andalus_RE	cornuData	towns	[-8.71712, 39.22337]
LISHBUNA_091W387N_S	['ara', 'eng']	لشبونة	لشبونة	لشبونة					Lishbuna	Lišbūnaŧ	Lišbūnaŧ	Andalus_RE	cornuData	towns	[-9.14514, 38.76878]
MADAN_091W386N_S	['ara', 'eng']	المعدن	المعدن	المعدن					al-Madan	al-Maʿdan	al-Maʿdan	Andalus_RE	cornuData	towns	[-9.19189, 38.64984]
SHANTARA_093W388N_S	['ara', 'eng']	شنترة	شنترة	شنترة					Shantara	Šantaraŧ	Šantaraŧ	Andalus_RE	cornuData	villages	[-9.37353, 38.80838]
BAYDA_005E418N_S	['ara', 'eng']	البيضاء	البيضاء	البيضاء					al-Bayda	al-Bayḍāʾ	al-Bayḍāʾ	Andalus_RE	cornuData	towns	[0.57785, 41.83632]
TURTUSHA_006E407N_S	['ara', 'eng']	طرطوشة	طرطوشة	طرطوشة					Turtusha	Ṭurṭūšaŧ	Ṭurṭūšaŧ	Andalus_RE	cornuData	towns	[0.60933, 40.79221]
LARIDA_006E416N_S	['ara', 'eng']	لاردة	لاردة	لاردة					Larida	Lāridaŧ	Lāridaŧ	Andalus_RE	cornuData	waystations	[0.64889, 41.60948]
YABISA_014E389N_R	['ara', 'eng']	يابسة	يابسة	يابسة					Yabisa	Yābisaŧ	Yābisaŧ	Andalus_RE	cornuData	regions	[1.41141, 38.94978]
BAHRRUM_017E372N_W	['ara', 'eng']	بحر الروم	بحر الروم	بحر الروم					Bahr al-Rum	Baḥr al-Rūm	Baḥr al-Rūm	Andalus_RE	cornuData	waters	[1.71713, 37.28888]
JIRUNDA_028E419N_S	['ara', 'eng']	جرندة	جرندة	جرندة					Jirunda	Ǧirundaŧ	Ǧirundaŧ	Andalus_RE	cornuData	towns	[2.84472, 41.93607]
ARBUNA_030E431N_S	['ara', 'eng']	أربونة	أربونة	أربونة					Arbuna	Arbūnaŧ	Arbūnaŧ	Andalus_RE	cornuData	towns	[3.00118, 43.18643]
MARASH_369E375N_S	['ara', 'eng']	مرعش	مرعش	مرعش					Marash	Marʿaš	Marʿaš	Aqur_RE	cornuData	waystations	[36.92987, 37.58314]
DULUK_371E371N_S	['ara', 'eng']	دلوك	دلوك	دلوك					Duluk	Dulūk	Dulūk	Aqur_RE	cornuData	towns	[37.17675, 37.17638]
HADATH_375E377N_S	['ara', 'eng']	الحدث	الحدث	الحدث					al-Hadath	al-Ḥadaṯ	al-Ḥadaṯ	Aqur_RE	cornuData	towns	[37.52545, 37.73001]
RABAN_376E374N_S	['ara', 'eng']	رعبان	رعبان	رعبان					Raban	Raʿbān	Raʿbān	Aqur_RE	cornuData	towns	[37.68027, 37.43156]
ZIBATRA_379E380N_S	['ara', 'eng']	زبطرة	زبطرة	زبطرة					Zibatra	Zibaṭraŧ	Zibaṭraŧ	Aqur_RE	cornuData	waystations	[37.90461, 38.09311]
ARQA_379E383N_S	['ara', 'eng']	عرقة	عرقة	عرقة					Arqa	ʿArqaŧ	ʿArqaŧ	Aqur_RE	cornuData	waystations	[37.96251, 38.36373]
MANBIJ_379E365N_S	['ara', 'eng']	منبج	منبج	منبج					Manbij	Manbiǧ	Manbiǧ	Aqur_RE	cornuData	towns	[37.98957, 36.54651]
HISNMANSUR_380E378N_S	['ara', 'eng']	حصن منصور	حصن منصور	حصن منصور					Hisn Mansur	Ḥiṣn Manṣūr	Ḥiṣn Manṣūr	Aqur_RE	cornuData	waystations	[38.05966, 37.82371]
QASRSANJA_381E374N_S	['ara', 'eng']	قصر سنجة	قصر سنجة، سنجة	قصر سنجة					Qasr Sanja, Sanja	Qaṣr Sanǧaŧ	Qaṣr Sanǧaŧ, Sanǧaŧ	Aqur_RE	cornuData	towns	[38.19495, 37.49466]
JISRMANBIJ_382E366N_S	['ara', 'eng']	جسر منبج	جسر منبج	جسر منبج					Jisr Manbij	Ǧisr Manbiǧ	Ǧisr Manbiǧ	Aqur_RE	cornuData	towns	[38.22057, 36.67173]
MALATIN_383E383N_S	['ara', 'eng']	ملطين	ملطين، ملطية	ملطين					Malatin, Malatiya	Malaṭīn	Malaṭīn, Malaṭiyaŧ	Aqur_RE	cornuData	towns	[38.35767, 38.35806]
SIFFIN_384E358N_O	['ara', 'eng']	صفين	صفين	صفين					Siffin	Ṣiffīn	Ṣiffīn	Aqur_RE	cornuData	sites	[38.4104, 35.8566]
SARUJ_384E369N_S	['ara', 'eng']	سروج	سروج	سروج					Saruj	Sarūǧ	Sarūǧ	Aqur_RE	cornuData	villages	[38.43806, 36.9791]
MUZANIYYA_385E372N_S	['ara', 'eng']	المزانية	المزانية	المزانية					al-Muzaniyya	al-Muzāniyyaŧ	al-Muzāniyyaŧ	Aqur_RE	cornuData	waystations	[38.52691, 37.28854]
QALAIBRIQ_385E390N_S	['ara', 'eng']	قلعة إبريق	قلعة إبريق	قلعة إبريق					Qala Ibriq	Qalʿaŧ Ibrīq	Qalʿaŧ Ibrīq	Aqur_RE	cornuData	waystations	[38.53819, 39.05271]
SUMAYSAT_385E375N_S	['ara', 'eng']	سميساط	سميساط	سميساط					Sumaysat	Sumaysāṭ	Sumaysāṭ	Aqur_RE	cornuData	towns	[38.54365, 37.54334]
TALLABDA_387E366N_S	['ara', 'eng']	تل عبدا	تل عبدا	تل عبدا					Tall Abda	Tall ʿAbdā	Tall ʿAbdā	Aqur_RE	cornuData	waystations	[38.72906, 36.69218]
RUHA_388E371N_S	['ara', 'eng']	الرها	الرها	الرها					al-Ruha	al-Ruhā	al-Ruhā	Aqur_RE	cornuData	towns	[38.82122, 37.1497]
JULLAB_389E374N_S	['ara', 'eng']	جلاب	جلاب	جلاب					Jullab	Ǧullāb	Ǧullāb	Aqur_RE	cornuData	waystations	[38.91048, 37.41051]
AYNRUMIYYA_389E363N_S	['ara', 'eng']	عين الرومية	عين الرومية	عين الرومية					Ayn al-Rumiyya	ʿAyn al-Rūmiyyaŧ	ʿAyn al-Rūmiyyaŧ	Aqur_RE	cornuData	waystations	[38.91206, 36.34984]
DIYARMUDAR_389E365N_R	['ara', 'eng']	ديار مضر	ديار مضر	ديار مضر					Diyar Mudar	Diyār Muḍar	Diyār Muḍar	Aqur_RE	cornuData	regions	[38.98256, 36.56338]
BAJARWAN_389E361N_S	['ara', 'eng']	باجروان	باجروان	باجروان					Bajarwan	Bāǧarwān	Bāǧarwān	Aqur_RE	cornuData	towns	[38.98556, 36.13571]
KAMAKH_390E395N_S	['ara', 'eng']	كمخ	كمخ، كماخ	كمخ					Kamakh, Kamakh	Kamaḫ	Kamaḫ, Kamāḫ	Aqur_RE	cornuData	waystations	[39.02492, 39.58627]
RAQQA_390E359N_S	['ara', 'eng']	الرقة	الرقة	الرقة					al-Raqqa	al-Raqqaŧ	al-Raqqaŧ	Aqur_RE	cornuData	capitals	[39.05128, 35.9493]
HISNMASLAMA_390E363N_S	['ara', 'eng']	حصن مسلمة	حصن مسلمة	حصن مسلمة					Hisn Maslama	Ḥiṣn Maslamaŧ	Ḥiṣn Maslamaŧ	Aqur_RE	cornuData	towns	[39.07106, 36.38728]
RAFIQA_390E359N_S	['ara', 'eng']	الرافقة	الرافقة	الرافقة					al-Rafiqa	al-Rāfiqaŧ	al-Rāfiqaŧ	Aqur_RE	cornuData	quarters	[39.07703, 35.94235]
HARRAN_390E368N_S	['ara', 'eng']	حران	حران	حران					Harran	Ḥarrān	Ḥarrān	Aqur_RE	cornuData	towns	[39.08906, 36.88438]
NAHRBALIKH_390E361N_W	['ara', 'eng']	نهر البليخ	نهر البليخ	نهر البليخ					Nahr al-Balikh	Nahr al-Balīḫ	Nahr al-Balīḫ	Aqur_RE	cornuData	waters	[39.09656, 36.11754]
TALLMAHRA_391E366N_S	['ara', 'eng']	تل محرى	تل محرى، تل بحرى	تل محرى					Tall Mahra, Tall Bahra	Tall Maḥrá	Tall Maḥrá, Tall Baḥrá	Aqur_RE	cornuData	towns	[39.13855, 36.61998]
HISNZIYAD_392E387N_S	['ara', 'eng']	حصن زياد	حصن زياد	حصن زياد					Hisn Ziyad	Ḥiṣn Ziyād	Ḥiṣn Ziyād	Aqur_RE	cornuData	waystations	[39.2247, 38.75874]
